,Unnamed: 0,id_x,RA_x,DEC_x,pos_err,DET_ML_F,rate_F,rate_F_err,flux_F,flux_F_err,snr_F,exptime_F,cts_ap_F,cts_ap_F_err,DET_ML_S,rate_S,rate_S_err,flux_S,flux_S_err,snr_S,exptime_S,cts_ap_S,cts_ap_S_err,DET_ML_H,rate_H,rate_H_err,flux_H,flux_H_err,snr_H,exptime_H,cts_ap_H,cts_ap_H_err,HR,HR_lo_lim,HR_up_lim,ra,dec,GRI/IZY,Visible,Invisible,Saturated,"Visible, Near Saturated Object","Not Visible, Near Saturated Object","Visible, but near an object","Not Visible, but near an object",Unclear
177,975,b'cid_3299 ',150.334762971,1.78843150344,1.0659999999999998,12.4,9.96e-05,3.04e-05,1.63e-15,4.969999700000001e-16,3.28,179.51,9.42,4.38,12.08,9.1400005e-05,3.59e-05,6.25e-16,2.4500000000000004e-16,2.54,176.87,7.92,4.07,-99.9,7.8000005e-05,-99.9,2.3800002e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.48,-0.66,-0.29,150.334762971,1.78843150344,B,,Y,,,,,,
178,984,b'cid_3334 ',150.12685816299998,1.7751008925,0.324,16.89,9.859999400000001e-05,3.11e-05,1.6100000000000001e-15,5.059999999999999e-16,3.17,198.67,10.5,4.6,14.65,4.9299997000000004e-05,2.08e-05,3.34e-16,1.41e-16,2.37,186.92,5.14,3.39,-99.9,0.000113999995,-99.9,3.4799999999999997e-15,-99.9,0.0,-99.0,-99.0,-99.0,0.11,-0.24,0.68,150.12685816299998,1.7751008925,B,,Y,,,,,,
183,993,b'cid_3361 ',150.22795999049998,1.8264521073,0.904,7.27,6.39e-05,2.99e-05,9.999999999999999e-16,4.69e-16,2.14,165.93,10.16,4.53,12.14,5.3400003e-05,2.1600000000000003e-05,3.3900000000000004e-16,1.37e-16,2.47,164.83,8.38,4.17,-99.0,7.709999999999999e-05,-99.0,2.3399998999999998e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.85,150.22795999049998,1.8264521073,B,,Y,,,,,,
185,1005,b'cid_34   ',150.3015499717,2.2822174863,0.134,218.99,0.00057,6.330000000000001e-05,8.95e-15,9.939999e-16,9.0,170.93,96.31,12.95,217.68,0.00041799998,5.0500002999999996e-05,2.6500002e-15,3.2e-16,8.29,167.87,69.5,11.06,31.91,0.000155,3.9900002e-05,4.7100000000000004e-15,1.21e-15,3.88,172.75,27.12,7.08,-0.46,-0.62,-0.29,150.3015499717,2.2822174863,B,,Y,,,,,,
187,1017,b'cid_3440 ',149.8893899768,1.9660288897,0.885,14.48,5.9899997999999994e-05,3.2200000000000003e-05,9.4e-16,5.059999999999999e-16,1.86,163.11,9.78,4.45,22.41,6.52e-05,2.3800001000000002e-05,4.13e-16,1.5100000000000001e-16,2.74,162.32,10.49,4.59,-99.0,3.289999999999999e-05,-99.0,9.999999999999999e-16,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.81,149.8893899768,1.9660288897,B,,Y,,,,,,
189,1025,b'cid_3455 ',149.924705867,1.8439374191599998,0.441,21.31,0.00011100000000000001,2.7899999999999997e-05,1.82e-15,4.58e-16,3.98,176.24,13.45,5.13,23.94,9.01e-05,2.55e-05,6.190000299999999e-16,1.75e-16,3.53,169.92,9.9,4.48,-99.9,7.950000000000001e-05,-99.9,2.43e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.4,149.924705867,1.84393741916,B,,Y,,,,,,
193,1041,b'cid_3529 ',149.82988,1.9907,0.9059999999999999,20.64,0.000169,3.929999999999999e-05,2.6500002e-15,6.1700003e-16,4.31,166.13,27.78,7.16,11.44,7.26e-05,2.4e-05,4.6e-16,1.52e-16,3.02,165.75,11.78,4.84,-99.0,0.0005099999999999999,-99.0,1.55e-14,-99.0,0.0,-99.0,-99.0,-99.0,-0.09,-0.31,0.18,149.82988,1.9907,B,,Y,,,,,,
207,1113,b'cid_3777 ',150.3187299981,2.2476906851,0.774,26.72,0.000177,3.6099999999999997e-05,2.7800000000000002e-15,5.669999999999999e-16,4.92,212.78,40.61,8.56,23.17,0.000138,2.72e-05,8.75e-16,1.72e-16,5.07,208.28,30.9,7.52,17.76,0.00012100000500000001,2.9999999999999997e-05,3.68e-15,9.119999999999998e-16,4.04,218.23,28.84,7.28,-0.13,-0.33,0.11,150.3187299981,2.2476906851,B,,Y,,,,,,
218,1185,b'cid_431  ',149.71426655,2.35547821862,0.774,51.25,0.000248,4.1e-05,4.0500004e-15,6.7e-16,6.05,160.96,38.52,8.35,64.57,0.00021199998,3.5799999999999996e-05,1.45e-15,2.4500000000000004e-16,5.92,157.24,29.82,7.4,-99.9,0.00011200000000000001,-99.9,3.4200001e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.71,-0.89,-0.56,149.71426655,2.35547821862,B,,Y,,,,,,
243,1431,b'cid_657  ',150.3159799771,2.3999616824000003,0.625,32.68,0.000226,4.55e-05,3.55e-15,7.139999600000001e-16,4.96,169.01,35.92,8.08,23.82,0.00013000000000000002,3.1400003e-05,8.2399995e-16,1.99e-16,4.15,167.39,20.39,6.2,11.28,0.00010700001,3.46e-05,3.25e-15,1.0499999000000001e-15,3.09,167.97,17.57,5.79,-0.18,-0.44,0.12,150.3159799771,2.3999616824000003,B,,Y,,,,,,
245,1471,b'cid_700  ',149.8515099905,2.4268577043,0.276,48.07,0.00020800000000000001,4.270000000000001e-05,3.2700000000000003e-15,6.7e-16,4.88,196.51,32.81,7.74,17.94,7.56e-05,2.5e-05,4.79e-16,1.5800001e-16,3.03,185.45,11.74,4.83,30.61,0.000144,3.63e-05,4.379999999999999e-15,1.1e-15,3.97,199.32,23.31,6.6,0.17,-0.09,0.46,149.8515099905,2.4268577043,B,,Y,,,,,,
248,1477,b'cid_707  ',150.0364099643,2.3210737903,0.462,49.97,0.000276,4.6299999999999994e-05,4.33e-15,7.27e-16,5.95,174.17,44.78,8.97,26.32,0.000146,3.16e-05,9.26e-16,2e-16,4.62,173.45,23.38,6.61,21.23,0.000113,3.3299999999999996e-05,3.44e-15,1.01e-15,3.41,173.51,18.91,5.99,-0.2,-0.45,0.09,150.0364099643,2.3210737903,B,,Y,,,,,,
249,1478,b'cid_708  ',150.0522799732,2.3693448682,0.19699999999999998,82.28,0.000328,5.02e-05,5.15e-15,7.88e-16,6.53,166.5,51.87,9.62,68.06,0.000204,3.71e-05,1.2899999e-15,2.35e-16,5.5,166.14,31.8,7.63,20.1,0.000117999996,3.43e-05,3.5899999999999996e-15,1.04e-15,3.44,167.5,19.14,6.02,-0.31,-0.53,-0.05,150.0522799732,2.3693448682,B,,Y,,,,,,
252,1499,b'cid_728  ',149.74107997229999,2.0343510827,0.527,55.72,0.000259,4.59e-05,4.07e-15,7.21e-16,5.64,162.01,42.92,8.79,9.68,0.000103,2.7699999999999996e-05,6.530000400000001e-16,1.76e-16,3.72,162.64,16.86,5.68,-99.0,0.000301,-99.0,9.15e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.51,-0.71,-0.29,149.74107997229999,2.0343510827,B,,Y,,,,,,
255,1507,b'cid_735  ',150.06365916,1.7773736653,0.526,38.24,0.000193,3.63e-05,3.16e-15,5.940000000000001e-16,5.33,175.47,29.75,7.39,24.11,9.3999995e-05,2.56e-05,6.44e-16,1.75e-16,3.66,171.13,15.31,5.44,14.98,9.93e-05,2.9600000000000005e-05,3.03e-15,9.029999999999999e-16,3.36,172.55,17.22,5.74,0.07,-0.11,0.28,150.06365916,1.7773736653,B,,Y,,,,,,
257,1525,b'cid_755  ',150.36993998280002,2.3438832745,0.526,34.64,0.00018899999999999999,4.16e-05,2.9700001e-15,6.530000400000001e-16,4.55,162.09,29.37,7.35,33.07,0.000132,3.1199997e-05,8.369999999999999e-16,1.98e-16,4.23,161.23,20.18,6.17,-99.0,0.00022999999,-99.0,6.9899996000000005e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.5,-0.74,-0.18,150.36993998280002,2.3438832745,B,,Y,,,,,,
265,1556,b'cid_792  ',150.0305399709,2.5483153253,0.24600000000000002,18.95,0.000169,4.5599998e-05,2.6500002e-15,7.1599997e-16,3.69,218.29,25.77,6.91,11.82,9.5699994e-05,3.0199999e-05,6.07e-16,1.91e-16,3.16,207.21,14.31,5.28,8.1,8.689999e-05,3.6099999999999997e-05,2.64e-15,1.1e-15,2.41,232.1,13.85,5.2,-0.17,-0.51,0.17,150.0305399709,2.5483153253,B,,Y,,,,,,
267,1565,b'cid_802  ',149.8705499936,1.9460106107,1.716,7.76,5.9499999999999996e-05,2.8199999999999998e-05,9.34e-16,4.4299998e-16,2.11,161.71,9.84,4.47,12.75,4.61e-05,1.9600000000000002e-05,2.92e-16,1.24e-16,2.35,161.15,7.52,3.98,-99.0,7.75e-05,-99.0,2.3599998e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.37,149.8705499936,1.9460106107,B,,Y,,,,,,
269,1571,b'cid_808  ',149.908649983,1.9959021097,0.26899999999999996,44.46,0.00021900001,4.92e-05,3.44e-15,7.719999599999999e-16,4.45,167.23,35.13,7.99,17.0,9.1e-05,2.9199999999999998e-05,5.769999999999999e-16,1.85e-16,3.12,165.41,14.35,5.28,28.0,0.00012000000400000001,4.03e-05,3.65e-15,1.23e-15,2.97,169.17,19.92,6.13,0.0,-0.28,0.31,149.908649983,1.9959021097,B,,Y,,,,,,
270,1575,b'cid_813  ',149.9832199963,1.9478939969,1.301,13.16,9.25e-05,3.5e-05,1.45e-15,5.5e-16,2.65,170.4,14.76,5.35,-99.0,0.000199,-99.0,1.2599999e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.000273,-99.0,8.3000005e-15,-99.0,0.0,-99.0,-99.0,-99.0,0.28,0.03,0.6,149.9832199963,1.9478939969,B,,Y,,,,,,
271,1578,b'cid_817  ',150.0629500023,1.9448698043000001,0.301,29.77,0.000175,4.4499997e-05,2.75e-15,6.9899996e-16,3.94,159.41,34.21,7.89,17.96,8.96e-05,2.7899999999999997e-05,5.679999700000001e-16,1.77e-16,3.22,152.87,17.09,5.72,10.73,7.659999999999999e-05,3.5499999999999996e-05,2.33e-15,1.08e-15,2.16,165.39,15.63,5.49,-0.19,-0.48,0.14,150.0629500023,1.9448698043,B,,Y,,,,,,
272,1580,b'cid_819  ',150.1785799884,1.8548825138999998,0.515,40.35,0.000213,4.8100000000000004e-05,3.34e-15,7.549999999999999e-16,4.44,193.64,40.84,8.58,40.27,0.000129,3.16e-05,8.180000500000001e-16,2e-16,4.08,189.07,24.19,6.71,12.12,9.859999400000001e-05,3.8799999999999994e-05,3e-15,1.1799999e-15,2.54,198.48,19.54,6.08,-0.21,-0.46,0.07,150.1785799884,1.8548825139,B,,Y,,,,,,
273,1581,b'cid_82   ',150.208439998,2.4147135687,0.664,35.02,0.000199,4.15e-05,3.12e-15,6.519999999999999e-16,4.79,167.37,33.02,7.76,31.02,0.000126,2.99e-05,7.990000000000001e-16,1.8999999999999998e-16,4.23,166.53,20.72,6.25,8.91,7.65e-05,3.04e-05,2.33e-15,9.24e-16,2.52,167.22,13.09,5.07,-0.34,-0.64,-0.02,150.208439998,2.4147135687,B,,Y,,,,,,
278,1616,b'cid_861  ',149.91368997889998,2.2465036297,0.39,58.41,0.00035,5.42e-05,5.4899996e-15,8.51e-16,6.45,192.09,60.6,10.36,43.51,0.00018700000000000002,3.64e-05,1.1900001e-15,2.31e-16,5.15,188.36,31.85,7.63,16.78,0.000164,4.14e-05,4.99e-15,1.2599999e-15,3.94,198.03,29.5,7.36,-0.12,-0.33,0.11,149.91368997889998,2.2465036297,B,,Y,,,,,,
281,1631,b'cid_884  ',149.8452400004,2.2791557184999998,0.611,29.37,0.000139,3.74e-05,2.18e-15,5.8699997e-16,3.71,161.1,20.58,6.23,13.81,5.3800002000000005e-05,2.22e-05,3.41e-16,1.41e-16,2.42,164.19,7.88,4.06,13.34,8.7e-05,3.1199997e-05,2.64e-15,9.479999e-16,2.78,163.18,13.21,5.09,0.02,-0.35,0.4,149.8452400004,2.2791557185,B,,Y,,,,,,
282,1640,b'cid_892  ',150.0465399613,2.3674578755,0.381,11.68,9.82e-05,3.1400003e-05,1.5399999e-15,4.929999599999999e-16,3.12,167.7,15.56,5.48,10.07,6.620000000000001e-05,2.25e-05,4.2e-16,1.4299998999999998e-16,2.93,166.98,10.35,4.57,-99.0,0.00029300002,-99.0,8.91e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.47,-0.74,-0.22,150.0465399613,2.3674578755,B,,Y,,,,,,
290,1689,b'cid_950  ',150.260759988,2.1179492088,0.537,30.4,0.000132,2.97e-05,2.0699998999999997e-15,4.66e-16,4.45,221.84,29.06,7.31,-99.0,0.000166,-99.0,1.0499999000000001e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.000145,-99.0,4.41e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.47,150.260759988,2.1179492088,B,,Y,,,,,,
292,1714,b'cid_973  ',150.3354199901,2.3438742316,1.16,12.47,0.000126,4.0600000000000004e-05,1.9800000000000002e-15,6.37e-16,3.1,203.55,25.49,6.88,-99.0,0.000134,-99.0,8.5e-16,-99.0,0.0,-99.0,-99.0,-99.0,6.04,8.2e-05,3.4399999999999996e-05,2.49e-15,1.0499999000000001e-15,2.38,209.81,17.41,5.77,0.5,0.28,0.74,150.3354199901,2.3438742316,B,,Y,,,,,,
295,1735,b'cid_992  ',150.1166999684,2.4250471996000003,0.866,23.07,0.00021400001,5.8399999999999997e-05,3.36e-15,9.17e-16,3.68,147.24,28.49,7.24,20.82,0.00014099999999999998,3.9399999999999995e-05,8.94e-16,2.5e-16,3.59,145.33,18.43,5.92,-99.0,0.000245,-99.0,7.4499995e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.37,-0.65,-0.15,150.1166999684,2.4250471996000003,B,,Y,,,,,,
300,1943,b'lid_1414 ',150.458793021,1.8594495550999999,0.276,89.52,0.00042399997,6.0299999999999995e-05,7.25e-15,1.03e-15,7.03,159.48,48.71,9.33,53.37,0.000218,4.5e-05,1.6100000000000001e-15,3.33e-16,4.86,143.39,29.28,7.34,34.63,0.00020499999,4.3000004e-05,6.2700000000000005e-15,1.32e-15,4.76,172.08,29.8,7.4,0.13,-0.06,0.36,150.458793021,1.8594495551,B,,Y,,,,,,
303,1974,b'lid_1490 ',150.46088734399999,1.92274328599,0.336,35.81,0.000145,3.78e-05,2.48e-15,6.46e-16,3.84,171.2,21.59,6.37,20.7,8.329999999999999e-05,2.8199999999999998e-05,6.1600000000000005e-16,2.0899999e-16,2.96,168.16,11.36,4.76,14.09,7.85e-05,3.09e-05,2.4e-15,9.46e-16,2.54,173.43,10.13,4.52,-0.06,-0.3,0.28,150.46088734399999,1.92274328599,B,,Y,,,,,,
314,2365,b'lid_1987 ',150.323322894,2.51182864883,1.129,11.56,8.97e-05,3.06e-05,1.53e-15,5.23e-16,2.93,165.93,12.07,4.89,17.59,9.689999599999999e-05,3.01e-05,7.17e-16,2.2299999999999998e-16,3.22,165.0,11.32,4.75,-99.9,6.459999999999998e-05,-99.9,1.9800000000000002e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.66,150.323322894,2.51182864883,B,,Y,,,,,,
315,2368,b'lid_1991 ',150.147919755,2.6904504449299997,0.919,15.13,0.00012100000500000001,3.37e-05,2.0699998999999997e-15,5.7600003e-16,3.58,166.39,20.23,6.18,19.41,8.1700004e-05,2.49e-05,6.05e-16,1.84e-16,3.28,164.32,13.62,5.16,-99.9,9.63e-05,-99.9,2.95e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.42,-0.68,-0.08,150.147919755,2.69045044493,B,,Y,,,,,,
318,2375,b'lid_2001 ',150.033082847,2.58545037542,0.253,14.83,0.000146,4.24e-05,2.5e-15,7.25e-16,3.45,160.69,28.85,7.29,10.0,0.00011100000000000001,3.69e-05,8.210000000000001e-16,2.73e-16,3.02,150.92,19.24,6.04,-99.9,0.000113999995,-99.9,3.49e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.55,-0.78,-0.26,150.033082847,2.58545037542,B,,Y,,,,,,
324,2682,b'lid_2514 ',150.10134093899998,1.74652056442,0.607,12.6,0.000109,3.3199998e-05,1.8600000000000002e-15,5.679999700000001e-16,3.29,181.14,17.29,5.75,13.36,7.48e-05,2.48e-05,5.54e-16,1.84e-16,3.01,177.88,11.26,4.74,-99.9,0.00010499999,-99.9,3.2100001e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.12,-0.39,0.22,150.10134093899998,1.74652056442,B,,Y,,,,,,
327,2808,b'lid_2790 ',150.496816511,2.0053527949000003,0.691,12.96,9.39e-05,3.34e-05,1.6100000000000001e-15,5.71e-16,2.81,168.05,12.94,5.04,10.41,7.4e-05,2.8999999999999997e-05,5.48e-16,2.15e-16,2.55,160.35,8.66,4.23,-99.9,9.3500006e-05,-99.9,2.8600000000000003e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.49,-0.72,-0.24,150.496816511,2.0053527949000003,B,,Y,,,,,,
328,2809,b'lid_2792 ',150.541517906,2.06299474243,0.611,26.04,0.000296,5.98e-05,5.06e-15,1.0199999e-15,4.95,149.0,41.58,8.66,12.38,0.00013300001,4.4200002e-05,9.84e-16,3.27e-16,3.0,138.25,17.24,5.74,-99.9,0.000152,-99.9,4.65e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.11,-0.48,0.36,150.541517906,2.06299474243,B,,Y,,,,,,
329,2812,b'lid_2795 ',150.58658014,2.18381873383,0.166,16.99,0.00014099999999999998,3.63e-05,2.4100002e-15,6.21e-16,3.87,159.61,18.77,5.97,12.84,8.65e-05,2.7399999999999995e-05,6.4e-16,2.0299999999999997e-16,3.16,151.65,11.29,4.75,-99.9,0.000113999995,-99.9,3.49e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.37,-0.67,0.03,150.58658014,2.18381873383,B,,Y,,,,,,
332,2952,b'lid_2964 ',150.306417639,2.44737214885,0.8270000000000001,8.23,0.000132,4.3800002000000006e-05,2.26e-15,7.49e-16,3.02,169.3,16.74,5.67,-99.9,1.5900001e-05,-99.9,1.18e-16,-99.9,0.0,-99.0,-99.0,-99.0,12.15,0.000145,4.35e-05,4.4399999999999996e-15,1.3300000000000001e-15,3.34,176.28,19.23,6.04,-99.0,0.68,-99.0,150.306417639,2.44737214885,B,,Y,,,,,,
333,2965,b'lid_3019 ',150.490958282,2.5019194645200002,0.948,14.52,0.00011599999599999999,3.3199998e-05,1.9800000000000002e-15,5.679999700000001e-16,3.5,164.24,14.77,5.35,-99.9,5e-05,-99.9,3.7e-16,-99.9,0.0,-99.0,-99.0,-99.0,14.51,0.00010700001,3.1400003e-05,3.2700000000000003e-15,9.61e-16,3.39,163.15,12.66,4.99,-99.0,0.63,-99.0,150.490958282,2.50191946452,B,,Y,,,,,,
334,2973,b'lid_3027 ',150.38987345299998,2.6236964845,1.114,12.81,0.00011,3.4e-05,1.88e-15,5.81e-16,3.23,162.16,17.08,5.72,-99.9,7.56e-05,-99.9,5.5900003e-16,-99.9,0.0,-99.0,-99.0,-99.0,7.64,7.829999999999999e-05,3.0199999e-05,2.4e-15,9.24e-16,2.59,155.28,12.11,4.9,0.4,0.17,0.69,150.38987345299998,2.6236964845,B,,Y,,,,,,
335,2975,b'lid_3031 ',150.461251573,2.4935414153099997,0.591,16.02,9.0600006e-05,3.01e-05,1.55e-15,5.15e-16,3.01,166.77,14.25,5.27,-99.9,5.11e-05,-99.9,3.78e-16,-99.9,0.0,-99.0,-99.0,-99.0,15.19,6.9099995e-05,2.5399998999999998e-05,2.11e-15,7.77e-16,2.72,165.61,10.76,4.65,0.31,0.17,0.85,150.461251573,2.49354141531,B,,Y,,,,,,
337,3198,b'lid_3427 ',149.669068324,2.1393012698,0.46,11.92,0.00011699999599999999,3.64e-05,1.9999999999999998e-15,6.2199996e-16,3.23,161.98,15.75,5.51,-99.9,0.00011,-99.9,8.1400004e-16,-99.9,0.0,-99.0,-99.0,-99.0,7.52,6.579999999999999e-05,2.7399999999999995e-05,2.0100000000000003e-15,8.380000299999999e-16,2.41,172.3,10.48,4.59,-99.0,0.29,-99.0,149.669068324,2.1393012698,B,,Y,,,,,,
338,3231,b'lid_3503 ',149.921281688,1.7909123794599997,0.444,29.44,0.000113,2.7899999999999997e-05,1.9300000000000002e-15,4.77e-16,4.05,182.5,19.58,6.09,-99.9,5.44e-05,-99.9,4.0300000000000004e-16,-99.9,0.0,-99.0,-99.0,-99.0,25.62,8.859999999999999e-05,2.3900002e-05,2.7100000000000003e-15,7.309999700000001e-16,3.72,182.17,15.34,5.44,-99.0,-99.0,-0.15,149.921281688,1.7909123794599997,B,,Y,,,,,,
341,3357,b'lid_3770 ',150.439212948,1.9718354139900003,0.632,23.81,0.00023499998,4.8600003e-05,4.020000000000001e-15,8.3100004e-16,4.83,175.03,38.98,8.39,-99.9,0.00012699999,-99.9,9.4e-16,-99.9,0.0,-99.0,-99.0,-99.0,22.5,0.000195,4.36e-05,5.9699996e-15,1.3300000000000001e-15,4.47,176.25,36.27,8.11,0.53,0.34,0.76,150.439212948,1.9718354139900005,B,,Y,,,,,,
345,3508,b'lid_4036 ',150.42926409999998,2.55642105152,0.611,14.41,0.00020499999,4.6299999999999994e-05,3.5100000000000002e-15,7.92e-16,4.44,192.45,37.42,8.23,-99.9,3.9399999999999995e-05,-99.9,2.92e-16,-99.9,0.0,-99.0,-99.0,-99.0,-99.9,0.000162,-99.9,4.96e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,0.86,-99.0,150.42926409999995,2.55642105152,B,,Y,,,,,,
346,3509,b'lid_4039 ',150.452920881,2.55174771594,0.32799999999999996,11.8,0.00015800001,4.44e-05,2.7e-15,7.59e-16,3.55,171.78,27.74,7.15,-99.9,0.00016,-99.9,1.1799999e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.9,0.00014099999999999998,-99.9,4.31e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.28,-0.53,0.1,150.452920881,2.55174771594,B,,Y,,,,,,
348,3513,b'lid_4053 ',150.190563658,2.65362580164,0.17600000000000002,11.73,0.000168,4.1e-05,2.8699997999999997e-15,7.01e-16,4.11,212.72,30.13,7.44,-99.9,0.00011,-99.9,8.1400004e-16,-99.9,0.0,-99.0,-99.0,-99.0,-99.9,0.000171,-99.9,5.229999999999999e-15,-99.9,0.0,-99.0,-99.0,-99.0,0.43,0.16,0.77,150.190563658,2.65362580164,B,,Y,,,,,,
350,3596,b'lid_4431 ',149.86322387200002,2.55094370102,0.611,12.16,0.00013000000000000002,3.86e-05,2.2199999999999998e-15,6.599999700000001e-16,3.38,226.27,21.21,6.31,-99.9,6.8e-05,-99.9,5.030000299999999e-16,-99.9,0.0,-99.0,-99.0,-99.0,-99.9,0.000124,-99.9,3.79e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,0.41,-99.0,149.86322387200002,2.55094370102,B,,Y,,,,,,
351,3620,b'lid_4563 ',150.06928848799998,1.77998668648,1.453,11.96,0.000101,3.0299999999999998e-05,1.7300000000000001e-15,5.179999999999999e-16,3.33,171.61,13.68,5.17,-99.9,9.259999999999999e-05,-99.9,6.85e-16,-99.9,0.0,-99.0,-99.0,-99.0,-99.9,9.1e-05,-99.9,2.7800000000000002e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.71,150.06928848799998,1.77998668648,B,,Y,,,,,,
353,3629,b'lid_4601 ',150.034276979,1.7208974305400002,0.359,12.1,0.000128,3.47e-05,2.1899999999999997e-15,5.93e-16,3.69,180.51,22.9,6.54,-99.9,0.00011200000000000001,-99.9,8.29e-16,-99.9,0.0,-99.0,-99.0,-99.0,-99.9,0.00013500001,-99.9,4.13e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.8,150.034276979,1.7208974305400002,B,,Y,,,,,,
356,3635,b'lid_4627 ',149.982753011,1.8382120150299999,0.40700000000000003,11.84,0.000129,3.68e-05,2.21e-15,6.29e-16,3.49,201.24,20.02,6.15,-99.9,7.26e-05,-99.9,5.37e-16,-99.9,0.0,-99.0,-99.0,-99.0,-99.9,0.00011599999599999999,-99.9,3.55e-15,-99.9,0.0,-99.0,-99.0,-99.0,0.04,-0.31,0.67,149.982753011,1.83821201503,B,,Y,,,,,,
357,3700,b'lid_4946 ',150.606725205,2.27414299492,0.611,14.28,0.000204,4.79e-05,3.49e-15,8.1899997e-16,4.26,167.53,31.86,7.63,-99.9,3.8799999999999994e-05,-99.9,2.8700000000000003e-16,-99.9,0.0,-99.0,-99.0,-99.0,-99.9,0.00012000000400000001,-99.9,3.670000200000001e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,0.47,-99.0,150.606725205,2.27414299492,B,,Y,,,,,,
360,3828,b'lid_6131 ',149.904409842,1.8689782673400002,0.611,-99.9,0.00016999999999999999,-99.9,2.9100001000000003e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.9,8.7299995e-05,-99.9,6.46e-16,-99.9,0.0,-99.0,-99.0,-99.0,14.73,0.00014199999,3.86e-05,4.35e-15,1.1799999e-15,3.67,213.27,23.55,6.63,-99.0,-99.0,-0.22,149.904409842,1.86897826734,B,,Y,,,,,,
