,RA,DEC,g_fits,r_fits,i_fits,z_fits,y_fits
,150.865429121,1.81613557696,/Users/linaflorez/Downloads/FITS_FILES/20/cutout-HSC-G-9813-pdr1_udeep-200515-101559.fits,/Users/linaflorez/Downloads/FITS_FILES/20/cutout-HSC-R-9813-pdr1_udeep-200515-101612.fits,/Users/linaflorez/Downloads/FITS_FILES/20/cutout-HSC-I-9813-pdr1_udeep-200515-101623.fits,/Users/linaflorez/Downloads/FITS_FILES/20/cutout-HSC-Y-9813-pdr1_udeep-200515-101647.fits,/Users/linaflorez/Downloads/FITS_FILES/20/cutout-HSC-Z-9813-pdr1_udeep-200515-101635.fits
,150.858383135,2.07921975738,/Users/linaflorez/Downloads/FITS_FILES/18/cutout-HSC-G-9813-pdr1_udeep-200515-101201.fits,/Users/linaflorez/Downloads/FITS_FILES/18/cutout-HSC-R-9813-pdr1_udeep-200515-101210.fits,/Users/linaflorez/Downloads/FITS_FILES/18/cutout-HSC-I-9813-pdr1_udeep-200515-101221.fits,/Users/linaflorez/Downloads/FITS_FILES/18/cutout-HSC-Y-9813-pdr1_udeep-200515-101242.fits,/Users/linaflorez/Downloads/FITS_FILES/18/cutout-HSC-Z-9813-pdr1_udeep-200515-101232.fits
,150.835849723,1.90550868193,/Users/linaflorez/Downloads/FITS_FILES/9/cutout-HSC-G-9813-pdr1_udeep-200515-095220.fits,/Users/linaflorez/Downloads/FITS_FILES/9/cutout-HSC-R-9813-pdr1_udeep-200515-095230.fits,/Users/linaflorez/Downloads/FITS_FILES/9/cutout-HSC-I-9813-pdr1_udeep-200515-095242.fits,/Users/linaflorez/Downloads/FITS_FILES/9/cutout-HSC-Y-9813-pdr1_udeep-200515-095303.fits,/Users/linaflorez/Downloads/FITS_FILES/9/cutout-HSC-Z-9813-pdr1_udeep-200515-095252.fits
,150.792494294,1.91915304471,/Users/linaflorez/Downloads/FITS_FILES/11/cutout-HSC-G-9813-pdr1_udeep-200515-095559.fits,/Users/linaflorez/Downloads/FITS_FILES/11/cutout-HSC-R-9813-pdr1_udeep-200515-095611.fits,/Users/linaflorez/Downloads/FITS_FILES/11/cutout-HSC-I-9813-pdr1_udeep-200515-095623.fits,/Users/linaflorez/Downloads/FITS_FILES/11/cutout-HSC-Y-9813-pdr1_udeep-200515-095645.fits,/Users/linaflorez/Downloads/FITS_FILES/11/cutout-HSC-Z-9813-pdr1_udeep-200515-095634.fits
,150.721413184,2.22903095293,/Users/linaflorez/Downloads/FITS_FILES/7/cutout-HSC-G-9813-pdr1_udeep-200515-094832.fits,/Users/linaflorez/Downloads/FITS_FILES/7/cutout-HSC-R-9813-pdr1_udeep-200515-094842.fits,/Users/linaflorez/Downloads/FITS_FILES/7/cutout-HSC-I-9813-pdr1_udeep-200515-094852.fits,/Users/linaflorez/Downloads/FITS_FILES/7/cutout-HSC-Y-9813-pdr1_udeep-200515-094915.fits,/Users/linaflorez/Downloads/FITS_FILES/7/cutout-HSC-Z-9813-pdr1_udeep-200515-094904.fits
,150.707105725,2.33920448966,/Users/linaflorez/Downloads/FITS_FILES/16/cutout-HSC-G-9813-pdr1_udeep-200515-100823.fits,/Users/linaflorez/Downloads/FITS_FILES/16/cutout-HSC-R-9813-pdr1_udeep-200515-100834.fits,/Users/linaflorez/Downloads/FITS_FILES/16/cutout-HSC-I-9813-pdr1_udeep-200515-100848.fits,/Users/linaflorez/Downloads/FITS_FILES/16/cutout-HSC-Y-9813-pdr1_udeep-200515-100911.fits,/Users/linaflorez/Downloads/FITS_FILES/16/cutout-HSC-Z-9813-pdr1_udeep-200515-100900.fits
,150.670891819,2.4973069798,/Users/linaflorez/Downloads/FITS_FILES/6/cutout-HSC-G-9813-pdr1_udeep-200515-094624.fits,/Users/linaflorez/Downloads/FITS_FILES/6/cutout-HSC-R-9813-pdr1_udeep-200515-094634.fits,/Users/linaflorez/Downloads/FITS_FILES/6/cutout-HSC-I-9813-pdr1_udeep-200515-094646.fits,/Users/linaflorez/Downloads/FITS_FILES/6/cutout-HSC-Y-9813-pdr1_udeep-200515-094710.fits,/Users/linaflorez/Downloads/FITS_FILES/6/cutout-HSC-Z-9813-pdr1_udeep-200515-094658.fits
,150.657610321,1.80180270379,/Users/linaflorez/Downloads/FITS_FILES/17/cutout-HSC-G-9813-pdr1_udeep-200515-101016.fits,/Users/linaflorez/Downloads/FITS_FILES/17/cutout-HSC-R-9813-pdr1_udeep-200515-101027.fits,/Users/linaflorez/Downloads/FITS_FILES/17/cutout-HSC-I-9813-pdr1_udeep-200515-101038.fits,/Users/linaflorez/Downloads/FITS_FILES/17/cutout-HSC-Y-9813-pdr1_udeep-200515-101101.fits,/Users/linaflorez/Downloads/FITS_FILES/17/cutout-HSC-Z-9813-pdr1_udeep-200515-101049.fits
,150.647468142,2.41835933197,/Users/linaflorez/Downloads/FITS_FILES/1/cutout-HSC-G-9813-pdr1_udeep-200515-093142.fits,/Users/linaflorez/Downloads/FITS_FILES/1/cutout-HSC-R-9813-pdr1_udeep-200515-093155.fits,/Users/linaflorez/Downloads/FITS_FILES/1/cutout-HSC-I-9813-pdr1_udeep-200515-093206.fits,/Users/linaflorez/Downloads/FITS_FILES/1/cutout-HSC-Y-9813-pdr1_udeep-200515-093231.fits,/Users/linaflorez/Downloads/FITS_FILES/1/cutout-HSC-Z-9813-pdr1_udeep-200515-093219.fits
,150.639774776,2.0602717898,/Users/linaflorez/Downloads/FITS_FILES/10/cutout-HSC-G-9813-pdr1_udeep-200515-095359.fits,/Users/linaflorez/Downloads/FITS_FILES/10/cutout-HSC-R-9813-pdr1_udeep-200515-095410.fits,/Users/linaflorez/Downloads/FITS_FILES/10/cutout-HSC-I-9813-pdr1_udeep-200515-095421.fits,/Users/linaflorez/Downloads/FITS_FILES/10/cutout-HSC-Y-9813-pdr1_udeep-200515-095443.fits,/Users/linaflorez/Downloads/FITS_FILES/10/cutout-HSC-Z-9813-pdr1_udeep-200515-095431.fits
,150.61709035,2.55616867358,/Users/linaflorez/Downloads/FITS_FILES/19/cutout-HSC-G-9813-pdr1_udeep-200515-101341.fits,/Users/linaflorez/Downloads/FITS_FILES/19/cutout-HSC-R-9813-pdr1_udeep-200515-101350.fits,/Users/linaflorez/Downloads/FITS_FILES/19/cutout-HSC-I-9813-pdr1_udeep-200515-101401.fits,/Users/linaflorez/Downloads/FITS_FILES/19/cutout-HSC-Y-9813-pdr1_udeep-200515-101425.fits,/Users/linaflorez/Downloads/FITS_FILES/19/cutout-HSC-Z-9813-pdr1_udeep-200515-101413.fits
,150.616580965,1.84460541228,/Users/linaflorez/Downloads/FITS_FILES/8/cutout-HSC-G-9813-pdr1_udeep-200515-095029.fits,/Users/linaflorez/Downloads/FITS_FILES/8/cutout-HSC-R-9813-pdr1_udeep-200515-095040.fits,/Users/linaflorez/Downloads/FITS_FILES/8/cutout-HSC-I-9813-pdr1_udeep-200515-095051.fits,/Users/linaflorez/Downloads/FITS_FILES/8/cutout-HSC-Y-9813-pdr1_udeep-200515-095115.fits,/Users/linaflorez/Downloads/FITS_FILES/8/cutout-HSC-Z-9813-pdr1_udeep-200515-095104.fits
,150.552510845,1.87404019266,/Users/linaflorez/Downloads/FITS_FILES/4/cutout-HSC-G-9813-pdr1_udeep-200515-094043.fits,/Users/linaflorez/Downloads/FITS_FILES/4/cutout-HSC-R-9813-pdr1_udeep-200515-094053.fits,/Users/linaflorez/Downloads/FITS_FILES/4/cutout-HSC-I-9813-pdr1_udeep-200515-094103.fits,/Users/linaflorez/Downloads/FITS_FILES/4/cutout-HSC-Y-9813-pdr1_udeep-200515-094124.fits,/Users/linaflorez/Downloads/FITS_FILES/4/cutout-HSC-Z-9813-pdr1_udeep-200515-094113.fits
,150.487039983,2.283044295,/Users/linaflorez/Downloads/FITS_FILES/15/cutout-HSC-G-9813-pdr1_udeep-200515-100630.fits,/Users/linaflorez/Downloads/FITS_FILES/15/cutout-HSC-R-9813-pdr1_udeep-200515-100641.fits,/Users/linaflorez/Downloads/FITS_FILES/15/cutout-HSC-I-9813-pdr1_udeep-200515-100652.fits,/Users/linaflorez/Downloads/FITS_FILES/15/cutout-HSC-Y-9813-pdr1_udeep-200515-100715.fits,/Users/linaflorez/Downloads/FITS_FILES/15/cutout-HSC-Z-9813-pdr1_udeep-200515-100704.fits
,150.461251573,2.49354141531,/Users/linaflorez/Downloads/FITS_FILES/3/cutout-HSC-G-9813-pdr1_udeep-200515-093755.fits,/Users/linaflorez/Downloads/FITS_FILES/3/cutout-HSC-R-9813-pdr1_udeep-200515-093806.fits,/Users/linaflorez/Downloads/FITS_FILES/3/cutout-HSC-I-9813-pdr1_udeep-200515-093817.fits,/Users/linaflorez/Downloads/FITS_FILES/3/cutout-HSC-Y-9813-pdr1_udeep-200515-093840.fits,/Users/linaflorez/Downloads/FITS_FILES/3/cutout-HSC-Z-9813-pdr1_udeep-200515-093827.fits
,150.439212948,1.97183541399,/Users/linaflorez/Downloads/FITS_FILES/12/cutout-HSC-G-9813-pdr1_udeep-200515-095743.fits,/Users/linaflorez/Downloads/FITS_FILES/12/cutout-HSC-R-9813-pdr1_udeep-200515-095756.fits,/Users/linaflorez/Downloads/FITS_FILES/12/cutout-HSC-I-9813-pdr1_udeep-200515-095806.fits,/Users/linaflorez/Downloads/FITS_FILES/12/cutout-HSC-Y-9813-pdr1_udeep-200515-095827.fits,/Users/linaflorez/Downloads/FITS_FILES/12/cutout-HSC-Z-9813-pdr1_udeep-200515-095816.fits
,150.425795746,2.16006029466,/Users/linaflorez/Downloads/FITS_FILES/2/cutout-HSC-G-9813-pdr1_udeep-200515-093509.fits,/Users/linaflorez/Downloads/FITS_FILES/2/cutout-HSC-R-9813-pdr1_udeep-200515-093520.fits,/Users/linaflorez/Downloads/FITS_FILES/2/cutout-HSC-I-9813-pdr1_udeep-200515-093532.fits,/Users/linaflorez/Downloads/FITS_FILES/2/cutout-HSC-Y-9813-pdr1_udeep-200515-093555.fits,/Users/linaflorez/Downloads/FITS_FILES/2/cutout-HSC-Z-9813-pdr1_udeep-200515-093543.fits
,150.409363152,2.89450029524,,,,,
