,id_x,RA_x,DEC_x,pos_err,DET_ML_F,rate_F,rate_F_err,flux_F,flux_F_err,snr_F,exptime_F,cts_ap_F,cts_ap_F_err,DET_ML_S,rate_S,rate_S_err,flux_S,flux_S_err,snr_S,exptime_S,cts_ap_S,cts_ap_S_err,DET_ML_H,rate_H,rate_H_err,flux_H,flux_H_err,snr_H,exptime_H,cts_ap_H,cts_ap_H_err,HR,HR_lo_lim,HR_up_lim,ra,dec,gfits,rfits,ifits,zfits,yfits
28,b'cid_1366 ',150.269320001,1.8648852879,0.562,11.28,9.59e-05,3.5700000000000014e-05,1.5099999999999999e-15,5.599999999999998e-16,2.68,163.89,15.17,5.42,-99.0,0.000125,-99.0,7.93e-16,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.000349,-99.0,1.06e-14,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.32,-99.0,150.269320001,1.8648852879,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.269320001/cutout-HSC-G-9813-pdr2_dud-200225-063437.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.269320001/cutout-HSC-R-9813-pdr2_dud-200225-063444.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.269320001/cutout-HSC-I-9813-pdr2_dud-200225-063453.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.269320001/cutout-HSC-Y-9813-pdr2_dud-200225-063508.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.269320001/cutout-HSC-Z-9813-pdr2_dud-200225-063501.fits
29,b'cid_1447 ',150.3912099882,2.1832612332,0.723,14.11,0.000123,3.52e-05,1.9300000000000002e-15,5.53e-16,3.49,172.11,19.56,6.08,6.94,4.96e-05,2.1e-05,3.14e-16,1.3300000000000002e-16,2.35,171.53,7.78,4.03,9.53,7.38e-05,2.92e-05,2.2399999999999997e-15,8.88e-16,2.54,171.83,12.07,4.89,-0.02,-0.41,0.4,150.3912099882,2.1832612332,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3912099882/cutout-HSC-G-9813-pdr2_dud-200225-063607.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3912099882/cutout-HSC-R-9813-pdr2_dud-200225-063616.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3912099882/cutout-HSC-I-9813-pdr2_dud-200225-063624.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3912099882/cutout-HSC-Y-9813-pdr2_dud-200225-063638.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3912099882/cutout-HSC-Z-9813-pdr2_dud-200225-063631.fits
30,b'cid_1485 ',150.1915899984,1.9099486971,0.428,34.55,0.00021700001,4.77e-05,3.41e-15,7.49e-16,4.54,250.88,58.22,10.16,11.37,9.55e-05,2.9300001000000007e-05,6.05e-16,1.86e-16,3.25,239.26,23.51,6.62,15.14,0.000112,3.950000000000001e-05,3.4e-15,1.2e-15,2.84,266.05,31.77,7.62,0.02,-0.2,0.26,150.1915899984,1.9099486971000001,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.1915899984/cutout-HSC-G-9813-pdr2_dud-200225-063719.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.1915899984/cutout-HSC-R-9813-pdr2_dud-200225-063727.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.1915899984/cutout-HSC-I-9813-pdr2_dud-200225-063736.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.1915899984/cutout-HSC-Y-9813-pdr2_dud-200225-063751.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.1915899984/cutout-HSC-Z-9813-pdr2_dud-200225-063744.fits
31,b'cid_1490 ',149.8045999734,2.1188663938,0.768,13.9,9.8100005e-05,3.58e-05,1.5399999e-15,5.62e-16,2.73,170.95,15.67,5.5,11.79,6.2e-05,2.3699999e-05,3.93e-16,1.5e-16,2.62,169.71,9.75,4.45,-99.0,0.000201,-99.0,6.11e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.55,149.8045999734,2.1188663938,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8045999734/cutout-HSC-G-9813-pdr2_dud-200225-063836.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8045999734/cutout-HSC-R-9813-pdr2_dud-200225-063846.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8045999734/cutout-HSC-I-9813-pdr2_dud-200225-063855.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8045999734/cutout-HSC-Y-9813-pdr2_dud-200225-063911.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8045999734/cutout-HSC-Z-9813-pdr2_dud-200225-063903.fits
32,b'cid_1514 ',150.0861699559,2.1388651852,0.41,24.3,0.00016499998999999998,3.9299999999999986e-05,2.59e-15,6.1700003e-16,4.2,169.73,26.96,7.06,9.9,5.96e-05,2.27e-05,3.78e-16,1.4400001e-16,2.62,169.28,9.59,4.42,11.1,9.53e-05,3.2e-05,2.9e-15,9.73e-16,2.97,169.37,15.99,5.55,0.04,-0.29,0.37,150.0861699559,2.1388651852000002,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0861699559/cutout-HSC-G-9813-pdr2_dud-200225-063957.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0861699559/cutout-HSC-R-9813-pdr2_dud-200225-064004.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0861699559/cutout-HSC-I-9813-pdr2_dud-200225-064012.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0861699559/cutout-HSC-Y-9813-pdr2_dud-200225-064028.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0861699559/cutout-HSC-Z-9813-pdr2_dud-200225-064020.fits
33,b'cid_1528 ',149.93043001430001,2.5224352015,1.179,14.6,0.000121000005,3.06e-05,1.9e-15,4.8e-16,3.96,156.12,19.89,6.13,-99.0,0.000327,-99.0,2.0699998999999997e-15,-99.0,0.0,-99.0,-99.0,-99.0,10.27,8.32e-05,2.6e-05,2.53e-15,7.9e-16,3.19,155.53,14.06,5.23,-99.0,-99.0,-0.54,149.93043001430001,2.5224352015,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.93043001430001/cutout-HSC-G-9813-pdr2_dud-200225-064111.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.93043001430001/cutout-HSC-R-9813-pdr2_dud-200225-064119.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.93043001430001/cutout-HSC-I-9813-pdr2_dud-200225-064127.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.93043001430001/cutout-HSC-Y-9813-pdr2_dud-200225-064144.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.93043001430001/cutout-HSC-Z-9813-pdr2_dud-200225-064136.fits
35,b'cid_1549 ',149.9315500041,2.3518566953,0.429,10.81,0.000166,4.9000002e-05,2.6099999000000002e-15,7.690000000000002e-16,3.39,164.68,28.12,7.2,8.42,7.54e-05,2.95e-05,4.78e-16,1.87e-16,2.55,159.89,12.49,4.96,-99.0,0.00034,-99.0,1.0299999e-14,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.67,149.9315500041,2.3518566953,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.9315500041/cutout-HSC-G-9813-pdr2_dud-200225-064345.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.9315500041/cutout-HSC-R-9813-pdr2_dud-200225-064353.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.9315500041/cutout-HSC-I-9813-pdr2_dud-200225-064403.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.9315500041/cutout-HSC-Y-9813-pdr2_dud-200225-064419.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.9315500041/cutout-HSC-Z-9813-pdr2_dud-200225-064411.fits
36,b'cid_1736 ',150.490405233,2.46255213475,1.32,25.16,0.000129,3e-05,2.11e-15,4.900000000000002e-16,4.31,173.99,22.24,6.45,12.66,6.620000000000001e-05,2.26e-05,4.510000499999998e-16,1.54e-16,2.93,172.81,9.37,4.37,13.18,6.809999999999999e-05,2.2999999e-05,2.08e-15,7.01e-16,2.96,173.65,10.4,4.58,-0.09,-0.35,0.26,150.490405233,2.46255213475,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.490405233/cutout-HSC-G-9813-pdr2_dud-200225-064518.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.490405233/cutout-HSC-R-9813-pdr2_dud-200225-064527.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.490405233/cutout-HSC-I-9813-pdr2_dud-200225-064536.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.490405233/cutout-HSC-Y-9813-pdr2_dud-200225-064551.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.490405233/cutout-HSC-Z-9813-pdr2_dud-200225-064543.fits
37,b'cid_2015 ',150.487039983,2.283044295,0.946,20.06,0.000113999995,3.96e-05,1.79e-15,6.2199996e-16,2.88,174.31,9.8,4.46,-99.0,0.000164,-99.0,1.04e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.00028900002,-99.0,8.790000000000001e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.22,-99.0,150.487039983,2.283044295,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.487039983/cutout-HSC-G-9813-pdr2_dud-200225-064629.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.487039983/cutout-HSC-R-9813-pdr2_dud-200225-064638.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.487039983/cutout-HSC-I-9813-pdr2_dud-200225-064647.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.487039983/cutout-HSC-Y-9813-pdr2_dud-200225-064703.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.487039983/cutout-HSC-Z-9813-pdr2_dud-200225-064654.fits
38,b'cid_2229 ',149.800138132,2.47034296029,0.16699999999999998,70.51,0.000368,5.2199997e-05,6.0399999999999995e-15,8.57e-16,7.06,162.58,65.24,10.73,73.76,0.000278,4.46e-05,1.9100000000000007e-15,3.0699999999999996e-16,6.23,149.24,37.43,8.24,-99.9,0.00026600002,-99.9,8.11e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.15,-0.3,0.0,149.800138132,2.47034296029,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.800138132/cutout-HSC-G-9813-pdr2_dud-200225-064752.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.800138132/cutout-HSC-R-9813-pdr2_dud-200225-064801.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.800138132/cutout-HSC-I-9813-pdr2_dud-200225-064808.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.800138132/cutout-HSC-Y-9813-pdr2_dud-200225-064823.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.800138132/cutout-HSC-Z-9813-pdr2_dud-200225-064816.fits
39,b'cid_2305 ',150.425795746,2.16006029466,0.688,12.6,7.900000000000001e-05,2.97e-05,1.2999999e-15,4.900000000000002e-16,2.66,181.16,7.84,4.05,-99.9,7.92e-05,-99.9,5.5e-16,-99.9,0.0,-99.0,-99.0,-99.0,7.18,5.64e-05,2.68e-05,1.72e-15,8.180000500000002e-16,2.1,195.06,3.42,2.89,-99.0,-99.0,-0.31,150.425795746,2.16006029466,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.425795746/cutout-HSC-G-9813-pdr2_dud-200225-064912.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.425795746/cutout-HSC-R-9813-pdr2_dud-200225-064920.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.425795746/cutout-HSC-I-9813-pdr2_dud-200225-064928.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.425795746/cutout-HSC-Y-9813-pdr2_dud-200225-064944.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.425795746/cutout-HSC-Z-9813-pdr2_dud-200225-064936.fits
40,b'cid_235  ',150.0070399606,1.9180055093,0.539,43.77,0.000233,4.25e-05,3.66e-15,6.67e-16,5.49,176.27,38.52,8.35,26.4,0.000102,2.6700001e-05,6.47e-16,1.6899999999999999e-16,3.82,175.95,16.69,5.66,19.69,0.00013500001,3.4e-05,4.1e-15,1.03e-15,3.97,175.79,22.9,6.54,0.04,-0.22,0.31,150.0070399606,1.9180055093000001,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0070399606/cutout-HSC-G-9813-pdr2_dud-200225-070403.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0070399606/cutout-HSC-R-9813-pdr2_dud-200225-070413.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0070399606/cutout-HSC-I-9813-pdr2_dud-200225-070421.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0070399606/cutout-HSC-Y-9813-pdr2_dud-200225-070436.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0070399606/cutout-HSC-Z-9813-pdr2_dud-200225-070429.fits
41,b'cid_2444 ',150.1393299992,2.3430127877,2.046,21.65,8.7700006e-05,3.3100000000000005e-05,1.3800000000000001e-15,5.2e-16,2.65,167.68,14.53,5.31,-99.0,8.78e-05,-99.0,5.570000000000001e-16,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.00031300002999999995,-99.0,9.520001e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.31,-99.0,150.1393299992,2.3430127877,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.1393299992/cutout-HSC-G-9813-pdr2_dud-200225-070516.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.1393299992/cutout-HSC-R-9813-pdr2_dud-200225-070524.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.1393299992/cutout-HSC-I-9813-pdr2_dud-200225-070533.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.1393299992/cutout-HSC-Y-9813-pdr2_dud-200225-070550.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.1393299992/cutout-HSC-Z-9813-pdr2_dud-200225-070541.fits
42,b'cid_2504 ',149.714104056,2.3241623219,0.7829999999999999,10.81,8.48e-05,2.7300000000000006e-05,1.3900000000000001e-15,4.480000000000002e-16,3.1,156.29,9.53,4.4,-99.9,6.850000000000001e-05,-99.9,4.7100003e-16,-99.9,0.0,-99.0,-99.0,-99.0,9.85,7.6100005e-05,2.6700001e-05,2.32e-15,8.1400004e-16,2.85,149.55,5.8,3.56,0.08,-0.26,0.64,149.714104056,2.3241623219,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.714104056/cutout-HSC-G-9813-pdr2_dud-200225-070641.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.714104056/cutout-HSC-R-9813-pdr2_dud-200225-070649.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.714104056/cutout-HSC-I-9813-pdr2_dud-200225-070658.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.714104056/cutout-HSC-Y-9813-pdr2_dud-200225-070714.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.714104056/cutout-HSC-Z-9813-pdr2_dud-200225-070706.fits
43,b'cid_2692 ',150.0779199783,2.0431886141,1.056,11.54,8.25e-05,3.04e-05,1.2999999e-15,4.77e-16,2.71,184.57,15.74,5.51,-99.0,0.000116999996,-99.0,7.42e-16,-99.0,0.0,-99.0,-99.0,-99.0,11.41,7.8699995e-05,2.8000000000000006e-05,2.3899999999999998e-15,8.51e-16,2.82,187.54,15.62,5.49,-99.0,0.18,-99.0,150.0779199783,2.0431886141,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0779199783/cutout-HSC-G-9813-pdr2_dud-200225-070750.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0779199783/cutout-HSC-R-9813-pdr2_dud-200225-070759.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0779199783/cutout-HSC-I-9813-pdr2_dud-200225-070808.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0779199783/cutout-HSC-Y-9813-pdr2_dud-200225-070825.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0779199783/cutout-HSC-Z-9813-pdr2_dud-200225-070816.fits
45,b'cid_2847 ',149.645478218,2.1703070264,1.492,11.15,0.000112,2.95e-05,1.84e-15,4.84e-16,3.79,152.07,3.05,2.76,-99.9,3.63e-05,-99.9,2.49e-16,-99.9,0.0,-99.0,-99.0,-99.0,6.66,7.809999999999999e-05,2.92e-05,2.3800002e-15,8.91e-16,2.67,149.31,4.91,3.33,-99.0,0.42,-99.0,149.645478218,2.1703070263999997,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.645478218/cutout-HSC-G-9813-pdr2_dud-200225-071034.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.645478218/cutout-HSC-R-9813-pdr2_dud-200225-071046.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.645478218/cutout-HSC-I-9813-pdr2_dud-200225-071054.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.645478218/cutout-HSC-Y-9813-pdr2_dud-200225-071110.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.645478218/cutout-HSC-Z-9813-pdr2_dud-200225-071102.fits
46,b'cid_287  ',150.2847799733,1.8182696975,0.544,53.01,0.00035699998,5.27e-05,5.6e-15,8.2700004e-16,6.77,160.54,56.21,9.99,39.31,0.000206,3.77e-05,1.31e-15,2.39e-16,5.46,157.73,31.9,7.64,17.19,0.000154,3.82e-05,4.6799998e-15,1.16e-15,4.05,162.84,25.11,6.83,-0.18,-0.39,0.06,150.2847799733,1.8182696975,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.2847799733/cutout-HSC-G-9813-pdr2_dud-200225-071158.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.2847799733/cutout-HSC-R-9813-pdr2_dud-200225-071205.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.2847799733/cutout-HSC-I-9813-pdr2_dud-200225-071215.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.2847799733/cutout-HSC-Y-9813-pdr2_dud-200225-071232.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.2847799733/cutout-HSC-Z-9813-pdr2_dud-200225-071223.fits
48,b'cid_293  ',150.204947328,1.73579770775,0.5,39.66,0.000202,3.74e-05,3.31e-15,6.13e-16,5.41,167.59,32.73,7.73,28.23,0.000120000004,2.9100001e-05,8.2399995e-16,2e-16,4.1,160.04,16.94,5.7,12.46,7.63e-05,2.6700001e-05,2.33e-15,8.1400004e-16,2.86,162.87,15.31,5.44,-0.05,-0.24,0.16,150.204947328,1.73579770775,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.204947328/cutout-HSC-G-9813-pdr2_dud-200225-075637.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.204947328/cutout-HSC-R-9813-pdr2_dud-200225-075645.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.204947328/cutout-HSC-I-9813-pdr2_dud-200225-075653.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.204947328/cutout-HSC-Y-9813-pdr2_dud-200225-075709.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.204947328/cutout-HSC-Z-9813-pdr2_dud-200225-075701.fits
49,b'cid_3165 ',149.7983099899,2.0750538948,0.428,11.84,0.00010800001,3.64e-05,1.7e-15,5.71e-16,2.96,190.1,19.93,6.14,-99.0,6.2600004e-05,-99.0,3.97e-16,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.000326,-99.0,9.909999999999999e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.39,-99.0,149.7983099899,2.0750538948,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.7983099899/cutout-HSC-G-9813-pdr2_dud-200225-075754.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.7983099899/cutout-HSC-R-9813-pdr2_dud-200225-075806.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.7983099899/cutout-HSC-I-9813-pdr2_dud-200225-075816.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.7983099899/cutout-HSC-Y-9813-pdr2_dud-200225-075832.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.7983099899/cutout-HSC-Z-9813-pdr2_dud-200225-075823.fits
50,b'cid_3175 ',149.8377599897,2.0277327983,0.213,38.37,0.000138,4.58e-05,2.1700002e-15,7.19e-16,3.0,166.99,22.17,6.45,34.75,0.000104,3.1199997e-05,6.59e-16,1.98e-16,3.35,164.61,16.54,5.63,-99.0,0.000175,-99.0,5.320000000000001e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.63,149.8377599897,2.0277327983,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8377599897/cutout-HSC-G-9813-pdr2_dud-200225-075934.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8377599897/cutout-HSC-R-9813-pdr2_dud-200225-075942.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8377599897/cutout-HSC-I-9813-pdr2_dud-200225-075951.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8377599897/cutout-HSC-Y-9813-pdr2_dud-200225-080008.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8377599897/cutout-HSC-Z-9813-pdr2_dud-200225-080000.fits
51,b'cid_3290 ',150.28645324200002,1.76593267396,0.203,14.69,8.65e-05,3.82e-05,1.4300000000000002e-15,6.31e-16,2.26,159.86,17.05,5.71,19.75,0.00010800001,3.78e-05,7.51e-16,2.6300002e-16,2.85,142.48,13.0,5.05,-99.9,8.209999999999999e-05,-99.9,2.51e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.73,150.28645324200002,1.76593267396,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.28645324200002/cutout-HSC-G-9813-pdr2_dud-200225-082108.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.28645324200002/cutout-HSC-R-9813-pdr2_dud-200225-082118.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.28645324200002/cutout-HSC-I-9813-pdr2_dud-200225-082126.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.28645324200002/cutout-HSC-Y-9813-pdr2_dud-200225-082143.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.28645324200002/cutout-HSC-Z-9813-pdr2_dud-200225-082134.fits
